Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,GapToPrev,Is_Following,CleanMax,Slipstream_Delta,Dirty_Air_Tax
0 days 02:06:37.713000,RUS,63,0 days 00:01:20.257000,50.0,3.0,,,0 days 00:00:29.006000,0 days 00:00:28.462000,0 days 00:00:22.789000,0 days 02:05:46.462000,0 days 02:06:14.924000,0 days 02:06:37.713000,283.0,250.0,251.0,293.0,False,HARD,7.0,True,Mercedes,0 days 02:05:17.456000,,1,4.0,False,,False,True,6.95,0,344.0,0.0,0.847999999999999
0 days 02:07:57.966000,RUS,63,0 days 00:01:20.253000,51.0,3.0,,,0 days 00:00:29.060000,0 days 00:00:28.541000,0 days 00:00:22.652000,0 days 02:07:06.773000,0 days 02:07:35.314000,0 days 02:07:57.966000,282.0,250.0,252.0,295.0,False,HARD,8.0,True,Mercedes,0 days 02:06:37.713000,,1,4.0,False,,False,True,5.441,0,344.0,0.0,0.8439999999999941
0 days 02:09:18.203000,RUS,63,0 days 00:01:20.237000,52.0,3.0,,,0 days 00:00:28.977000,0 days 00:00:28.559000,0 days 00:00:22.701000,0 days 02:08:26.943000,0 days 02:08:55.502000,0 days 02:09:18.203000,,249.0,254.0,291.0,False,HARD,9.0,True,Mercedes,0 days 02:07:57.966000,,1,4.0,False,,False,True,4.447,0,344.0,0.0,0.8279999999999887
0 days 02:10:38.390000,RUS,63,0 days 00:01:20.187000,53.0,3.0,,,0 days 00:00:29.088000,0 days 00:00:28.400000,0 days 00:00:22.699000,0 days 02:09:47.291000,0 days 02:10:15.691000,0 days 02:10:38.390000,284.0,250.0,252.0,294.0,False,HARD,10.0,True,Mercedes,0 days 02:09:18.203000,,1,4.0,False,,False,True,3.774,0,344.0,0.0,0.7779999999999916
0 days 02:11:58.590000,RUS,63,0 days 00:01:20.200000,54.0,3.0,,,0 days 00:00:29.067000,0 days 00:00:28.483000,0 days 00:00:22.650000,0 days 02:11:07.457000,0 days 02:11:35.940000,0 days 02:11:58.590000,281.0,250.0,252.0,291.0,False,HARD,11.0,True,Mercedes,0 days 02:10:38.390000,,1,4.0,False,,False,True,3.18,0,344.0,0.0,0.7909999999999968
0 days 02:13:18.849000,RUS,63,0 days 00:01:20.259000,55.0,3.0,,,0 days 00:00:28.982000,0 days 00:00:28.554000,0 days 00:00:22.723000,0 days 02:12:27.572000,0 days 02:12:56.126000,0 days 02:13:18.849000,,251.0,252.0,292.0,False,HARD,12.0,True,Mercedes,0 days 02:11:58.590000,,1,4.0,False,,False,True,2.272,0,344.0,0.0,0.8499999999999943
0 days 02:14:39.489000,RUS,63,0 days 00:01:20.640000,56.0,3.0,,,0 days 00:00:29.011000,0 days 00:00:28.755000,0 days 00:00:22.874000,0 days 02:13:47.860000,0 days 02:14:16.615000,0 days 02:14:39.489000,283.0,252.0,253.0,294.0,False,HARD,13.0,True,Mercedes,0 days 02:13:18.849000,,1,4.0,False,,False,True,1.587,0,344.0,0.0,1.2309999999999945
0 days 02:16:00.715000,RUS,63,0 days 00:01:21.226000,57.0,3.0,,,0 days 00:00:29.217000,0 days 00:00:28.867000,0 days 00:00:23.142000,0 days 02:15:08.706000,0 days 02:15:37.573000,0 days 02:16:00.715000,285.0,250.0,255.0,295.0,False,HARD,14.0,True,Mercedes,0 days 02:14:39.489000,,1,4.0,False,,False,True,0.938,1,344.0,-49.0,1.816999999999993
0 days 02:17:21.726000,RUS,63,0 days 00:01:21.011000,58.0,3.0,,,0 days 00:00:28.877000,0 days 00:00:29.042000,0 days 00:00:23.092000,0 days 02:16:29.592000,0 days 02:16:58.634000,0 days 02:17:21.726000,286.0,249.0,256.0,308.0,False,HARD,15.0,True,Mercedes,0 days 02:16:00.715000,,1,4.0,False,,False,True,0.547,1,344.0,-36.0,1.6019999999999897
0 days 02:18:43.217000,RUS,63,0 days 00:01:21.491000,59.0,3.0,,,0 days 00:00:29.169000,0 days 00:00:29.172000,0 days 00:00:23.150000,0 days 02:17:50.895000,0 days 02:18:20.067000,0 days 02:18:43.217000,278.0,250.0,255.0,311.0,False,HARD,16.0,True,Mercedes,0 days 02:17:21.726000,,1,4.0,False,,False,True,0.708,1,344.0,-33.0,2.0819999999999936
